182,26,95
192,33,105
202,47,111
212,57,109
222,65,105
232,69,113
242,69,118
252,70,121
262,57,123
272,61,130
282,81,133
292,100,141
302,94,187
312,101,189
322,108,195
332,98,187
342,99,183
352,100,178
362,132,184
372,124,180
382,139,189
392,143,203
402,144,198
412,139,203
422,137,298
432,137,296
442,141,284
452,137,280
462,159,264
472,174,238
482,196,232
492,197,255
502,208,271
512,217,269
522,232,268
532,241,281
542,244,286
552,244,286
562,240,277
572,226,273
582,221,274
592,211,268
602,214,276
612,216,295
622,222,294
632,227,291
642,243,285
652,241,282
662,245,278
672,244,265
682,231,262
692,214,260
702,211,261
712,212,258
722,218,264
732,223,268
742,223,268
752,225,287
762,228,293
772,229,296
